Table_Source,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_3,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_4,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_5,,,,,,,,,
Table_6,January,2025.01 B,Baseline (Restart),2025-01-14,26100.2894,KB5050009,,,
Table_6,February,2025.02 B,Hotpatch,2025-02-11,26100.3107,KB5052105,,,
Table_6,March,2025.03 B,Hotpatch,2025-03-11,26100.3403,KB5053636,,,
Table_6,April,2025.04 B,Baseline (Restart),2025-04-08,26100.3775,KB5055523,,,
Table_6,May,2025.05 B,Hotpatch,2025-05-13,26100.3981,KB5058497,,,
Table_6,June,2025.06 B,Hotpatch,2025-06-10,26100.4270,KB5060841,,,
Table_6,July,2025.07 B,Baseline (Restart),2025-07-08,26100.4652,KB5062553,,,
Table_6,August,2025.08 B,Hotpatch,2025-08-12,26100.4851,KB5064010,,,
Table_6,September,2025.09 B,Hotpatch,2025-09-09,26100.6508,KB5065474,,,
Table_6,October,2025.10 B,Baseline (Restart),,,,,,
Table_6,November,2025.11 B,Hotpatch,,,,,,
Table_6,December,2025.12 B,Hotpatch,,,,,,
Table_7,,,,,,,,,
Table_7,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_8,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
Table_9,,,,,,,,,
